agg1,AGG,anglogold ashanti limited
agh1,AGH,australian growth properties limited
agi2,AGI,ainsworth game technology limited
agk1,AGK,agl energy limited
agl1,AGL,australian gas light company (the)
agm1,AGM,allegiance mining nl
agn1,AGN,agen limited
ago1,AGO,atlas gold limited
ago1,AGO,atlas iron limited
agp1,AGP,anglo pacific group plc
agp1,AGP,anglo pacific resources plc
agr1,AGR,australian gold resources limited
ags1,AGS,alliance energy limited
ags1,AGS,alliance gold limited
ags1,AGS,alliance gold mines nl
ags1,AGS,alliance resources limited
agu1,AGU,aurium resources limited
agv1,AGV,australian gold investments limited
agw1,AGW,australian growth limited
agw1,RUR,ruralaus investments limited
ahc1,AHC,affordable housing corporation limited
ahc1,AHC,ahc limited
ahc1,SCL,st. cloud limited
ahd1,AHD,amalgamated holdings limited
ahe1,AHE,automotive holdings group limited
ahf1,ACT,australian commercial property trust
ahf1,AHF,australian healthcare investment fund
ahg1,AHG,archaean gold nl
ahh2,AHH,agro holdings limited
ahh2,BRM,brockman resources limited
ahh2,YML,yilgarn mining limited
ahl2,AGC,agincourt resources limited
ahl2,AHL,aboriginal holdings limited
ahl2,GOI,gowit limited
ahn1,AHN,athena resources limited
ahr2,AHR,anchor resources limited
ahs1,AHS,atlas group holdings limited
ahs1,BIS,bisalloy steel group limited
aht2,AHT,australian heritage group limited
aht2,MSX,mineral securities limited
ahu1,AHI,allco hit limited
ahu1,AHU,allco hybrid investment trust
ahx1,AHX,australian hospital care limited
ahy1,AHY,australian hydrocarbons limited
ahy1,AHY,australian hydrocarbons n.l.
aia1,AIA,auckland international airport limited
aib1,AIB,aurora infrastructure buy-write income trust
aie1,AIE,a.i engineering corporation limited
aie1,AIE,a.i. limited
aie1,AIE,ai engineering corporation limited
aie1,AIE,autodom limited
aif1,AIF,asia pacific infrastructure limited
aif1,CBD,cbd energy limited
aif1,CBD,cbd online limited
aif1,LOS,london securities limited
aig1,AIG,aircruising australia limited
aig1,CCA,charter cruise air limited
aih1,AIH,alinta infrastructure holdings
aii2,AII,abra mining limited
aio1,AIO,asciano group
ais1,AIS,ais corporation limited
ais1,AIS,automotive industrial & mining supplies limit
ais1,ALW,alphawest limited
aiu1,AIU,acclaim uranium limited
aiu1,AIU,acclaim uranium nl
aiu1,AZR,aztec resources limited
aiv2,AIV,activex limited
aix1,AIX,australian infrastructure fund
aix1,AIX,australian infrastructure group
aiz1,AIZ,air new zealand limited
ajf1,AJF,armstrong jones perth property fund
ajl1,AJL,aj lucas group limited
ajo1,AJG,armstrong jones australian growth fund
ajo1,AJO,armstrong jones office fund
ajr1,AJI,armstrong jones property income fund
ajr1,AJR,armstrong jones retail fund
ajs1,AJS,armstrong jones industrial fund
akc1,AKC,atkins carlyle limited
akc1,ALS,alesco corporation limited
akd1,AKD,akd limited
akd1,AKD,australian kimberley diamonds nl
akd1,IDO,indo mines limited
aki1,AKI,austlink international securities limited
akk1,AKK,austin exploration limited
akl1,AKL,australian kaolin limited
akl1,AKL,australian kaolin nl
akl1,VEE,venture exploration nl
ala1,ALA,alpha healthcare limited
ala1,ALA,alpha pacific limited
alb1,ALB,albidon limited
ald1,ALD,aldus limited
ald2,ALD,allied gold limited
ale1,ALE,alexanders securities limited
alg1,ALG,applied learning limited
alg1,UIN,unlisted investments limited
alg2,ALG,alamar resources limited
alh2,ALH,australian leisure & hospitality group limite
ali1,ALI,adelaide share investments limited
ali1,CKR,cockatoo ridge wines limited
ali1,RVI,redweaver investments limited
alk1,ALK,alkane exploration limited
alk1,ALK,alkane exploration n.l.
alk1,ALK,alkane exploration nl
alk1,ALK,alkane resources limited
all1,ALL,aristocrat leisure limited
alm1,ALM,australis media limited
alm3,ALM,aluminex resources limited
aln2,ALN,alinta limited
aln2,ALN,alintagas limited
alo1,ALO,auto group limited
alo1,ALO,auto logistics & auctions group limited
alp1,ALP,alliance properties limited
alp1,NGL,noall group limited
alp1,PRS,prests limited
alp1,TNL,tolhurst group limited
alp1,TNL,tolhurst noall group ltd
alq2,ALQ,australian liquor group limited
alt2,ALT,analytica limited
alx1,ALX,allstate explorations nl
aly1,ALY,alchemy resources limited
alz1,ALZ,australand holdings limited
alz1,ALZ,australand property group
ama1,AMA,amaust limited
ama2,AMA,allomak limited
amb1,AMB,ambition group limited
amb1,AMB,ambition group limited (the)
amc1,AMC,amcor limited
amd1,AMD,australian medical developments limited
amd1,NPP,npm properties limited
ame1,AME,ausmet resources limited
ame1,BNT,bounty industries limited
ame1,BNT,bounty mining ltd
amf1,AMF,asia multi-foods & oils (australia) limited
amf1,RWD,reward minerals ltd
amf1,VCC,vincent corporation limited
amg1,AMG,alcaston mining nl
amg1,GMR,golden rim resources ltd
amh3,AMH,amcil limited
